year,mean,std
1901.5,-155.5997812441378,38.401686981406705
1902.5,-157.16810069635122,47.734386900311954
1903.5,-151.0107224617917,49.357044267165186
1904.5,-153.2503575658818,47.09305675220269
1905.5,-151.80136573167303,47.851508911811045
1906.5,-154.34820049162977,46.669934671686946
1907.5,-151.9722969908444,47.063854200973054
1908.5,-157.20061465350352,48.08063685723533
1909.5,-154.03287328129542,47.078781670042204
1910.5,-153.22304726073455,46.933910464457
1911.5,-144.33318980757699,46.33612854048245
1912.5,-142.5294030746269,46.86248016860743
1913.5,-139.04018950433075,46.66555631605794
1914.5,-135.86264825205546,47.295123244318205
1915.5,-131.4538892149026,46.17506864352967
1916.5,-141.1129863322797,46.2471234343934
1917.5,-139.07671623784515,46.74100562662263
1918.5,-137.34573568449625,45.9872236921259
1919.5,-134.31262415535224,46.15903415316212
1920.5,-131.07299732985442,46.02427477224408
1921.5,-130.48521281420167,45.720591560815784
1922.5,-130.58082922946826,45.95549775344253
1923.5,-134.82913191669073,45.31318161906879
1924.5,-135.40994781987854,46.1488020083157
1925.5,-135.83761115579605,45.75503178038714
1926.5,-133.84051286535745,45.08032217323008
1927.5,-131.68590749922694,45.07400087250308
1928.5,-133.1839406993,45.460880582625684
1929.5,-132.15068801036037,45.54986276229129
1930.5,-128.71787717375284,45.21985296309381
1931.5,-128.81647359443355,45.33232730967397
1932.5,-121.66909621810039,45.24405829376081
1933.5,-121.84259768335193,44.7599203178102
1934.5,-127.33703423469112,45.858118179852234
1935.5,-120.22998669355911,45.17420286109614
1936.5,-122.93090934684498,45.69684953514492
1937.5,-117.4071628777106,45.265393791470494
1938.5,-112.69690919278288,45.28357540360818
1939.5,-108.56215809061332,44.881559775854505
1940.5,-113.22147469497497,46.60167760835664
1941.5,-103.25405411048932,45.08098711779803
1942.5,-102.65865401782342,44.82301299310304
1943.5,-100.175850337836,45.13492563354596
1944.5,-104.38158302179687,45.919484912935076
1945.5,-102.92877593626231,45.72507798865172
1946.5,-94.31439204716969,45.057755782284
1947.5,-95.46319179565138,44.54309468361717
1948.5,-90.87671405724164,44.15337288747187
1949.5,-86.58113972223543,45.03047596261002
1950.5,-86.81146603161083,44.86934135241609
1951.5,-79.71293574571703,43.95037483176068
1952.5,-79.7113641784287,44.292974236001555
1953.5,-76.27016153491498,44.15005622701409
1954.5,-80.33691939816897,44.22719543344967
1955.5,-78.94690141444374,44.09141747485503
1956.5,-84.59596819881695,44.385401904283036
1957.5,-73.85802560677747,42.9883336038904
1958.5,-74.0445957134594,42.639212350430334
1959.5,-72.82075599475183,42.63879846261615
1960.5,-69.66088602427398,42.53636340551715
1961.5,-67.94302403222154,42.06183363654424
1962.5,-70.26429379889134,42.258081520006506
1963.5,-70.50466997428293,43.09293510907774
1964.5,-74.62767349770921,43.427087473614925
1965.5,-67.68436526435089,42.98147603217421
1966.5,-71.45751397371865,42.22845186455666
1967.5,-71.66598297539474,42.09499068971537
1968.5,-71.39222843395807,41.919431829254904
1969.5,-68.13421169266975,41.63207738229115
1970.5,-69.28401370534145,41.62593826453926
1971.5,-63.37246612696457,41.571442992702984
1972.5,-61.59522756846633,41.154447344034146
1973.5,-65.11990094269778,41.21856200553097
1974.5,-58.886635407010694,41.296898111987005
1975.5,-56.23671523474172,41.14824766798088
1976.5,-59.07838797728103,41.058179522718056
1977.5,-57.56125056112253,41.32536165416014
1978.5,-56.394924259010914,40.97524545344176
1979.5,-54.32284756296934,41.18748721153955
1980.5,-52.15115695631594,40.95505071738864
1981.5,-42.42976907070039,41.328938845050146
1982.5,-46.249500479900554,41.133550693069836
1983.5,-42.40699329409028,40.97988711365056
1984.5,-41.58879636506328,41.01291509679056
1985.5,-46.43891603829658,41.03756700283337
1986.5,-43.31631237043937,41.33520202333854
1987.5,-43.40833745942361,42.56380994169752
1988.5,-43.06593249776477,41.34258362533585
1989.5,-39.07340657136974,41.06649143824458
1990.5,-35.53869396045355,41.09032759182459
1991.5,-35.88763712860766,41.21996162816259
1992.5,-35.44869411236861,41.16432931594303
1993.5,-34.916536931330945,38.40329183313588
1994.5,-31.394898464611884,38.438511016589736
1995.5,-27.055808124880812,38.510448675099624
1996.5,-24.28443608690978,38.47399624627256
1997.5,-20.280404058172675,38.4779108369677
1998.5,-19.576517654282174,38.41324617858591
1999.5,-18.141276278785185,38.40842643382936
2000.5,-13.716708359746104,38.41343298901074
2001.5,-8.384515046947609,38.41572972987355
2002.5,-7.145892880526678,38.404302832038745
2003.5,-4.396817951689874,38.40634955710969
2004.5,-2.127535858511179,38.405098417806926
2005.5,2.4943844450651773,38.40883975852407
2006.5,4.259474002813903,38.415348995784356
2007.5,5.074167937326332,38.42247763978362
2008.5,8.767043040629488,38.41667190169515
2009.5,13.11272483826281,38.42230355037735
2010.5,14.916750164388763,38.42965831274372
2011.5,14.244521259745476,38.43187197317965
2012.5,24.633165297633923,38.42786932302738
2013.5,27.25856475563124,38.43322382838684
2014.5,30.349116558954957,38.414223343214516
2015.5,39.70442891657189,38.41230493780823
2016.5,42.91946548042798,38.426910817610974
2017.5,43.82781463491843,38.44949747613637
2018.5,47.06342966289805,38.4716270966459
2019.5,53.857818431749926,38.465995682859564
2020.5,56.346328853178456,38.48107432242177
2021.5,61.108158745469844,38.49565918323335
2022.5,63.834241496520704,38.49920775485853
2023.5,69.97698871669253,38.49897492025671
2024.5,73.56836729650999,38.48160094363834
2025.5,73.97141214916053,38.493799819285435
