Changes in global mean sea level (GMSL) in millimeters compared to 1995-2014 average. Note that we have computed symmetric uncertainties for FR2020 based on their 5th to 95th percentile range and converted to 1-sigma.
Year,CW2011,HA2015,DA2017,DA2019,FR2020,CW2011 Unc. (1-sigma),HA2015 Unc. (1-sigma),DA2017 Unc. (1-sigma),DA2019 Unc. (1-sigma),FR2020 Unc. (1-sigma)
1980.5,-56.67777777777778,-50.565000000000005,-49.93124999999998,-49.748333333333335,-52.13809540785675,6.5,12.55,14.0,10.841666666666667,7.024792392920884
1981.5,-44.27777777777777,-49.115,-44.33124999999998,-50.165000000000006,-34.95726508434345,6.5,12.35,14.299999999999999,10.658333333333337,6.800122967742054
1982.5,-50.07777777777778,-47.635,-56.33124999999998,-47.57333333333332,-43.20812597861061,6.3,12.15,14.1,10.5,6.655513543406903
1983.5,-41.67777777777778,-45.79500000000001,-39.23124999999999,-47.84,-39.81393775451309,6.5,11.94,13.899999999999999,10.341666666666665,6.743924362468505
1984.5,-42.57777777777778,-43.505,-33.83124999999998,-44.16500000000002,-40.134346967432094,6.3,11.73,13.899999999999999,10.149999999999999,6.480101058658399
1985.5,-52.877777777777766,-41.315000000000005,-44.23124999999999,-42.78999999999999,-45.75970598713204,6.3,11.51,13.899999999999999,9.966666666666667,6.270360167875702
1986.5,-52.27777777777777,-39.425000000000004,-51.03125,-41.32333333333332,-38.45856165022707,6.3,11.29,14.1,9.79166666666667,6.046848397699528
1987.5,-51.67777777777778,-37.65500000000001,-32.03125,-39.63166666666666,-41.02630358384644,6.2,11.07,17.2,9.616666666666665,6.2174617940753585
1988.5,-46.97777777777779,-36.255,-37.53125,-40.68166666666667,-43.64908869886989,6.3,10.84,14.8,9.424999999999997,6.309085611540493
1989.5,-42.47777777777779,-35.21500000000001,-40.431250000000006,-40.33166666666668,-36.5215109196848,6.4,10.61,14.299999999999999,9.241666666666667,5.708314640013787
1990.5,-40.17777777777778,-33.895,-40.23124999999999,-35.28999999999999,-33.259039753602934,6.5,10.38,14.299999999999999,9.05,6.355411292461374
1991.5,-37.67777777777778,-31.79500000000001,-43.23124999999999,-31.27333333333334,-40.82253592473191,6.5,10.14,14.2,8.850000000000001,8.540454615141101
1992.5,-36.97777777777779,-29.785000000000004,-37.73124999999999,-30.015000000000015,-41.46404020934807,6.6,9.89,14.1,8.649999999999999,6.570695125254464
1993.5,-38.77777777777777,-27.975,-42.931250000000006,-27.590000000000003,-40.492568666235115,6.6,9.64,13.200000000000001,8.45,6.193035835123948
1994.5,-33.57777777777778,-25.985000000000007,-36.03125,-26.75666666666669,-37.65456775999374,6.6,9.38,13.100000000000001,8.241666666666667,8.225665828645022
1995.5,-30.677777777777777,-23.854999999999997,-30.431250000000006,-24.34833333333333,-26.752313535453965,6.6,9.11,13.100000000000001,8.033333333333333,9.353287830285584
1996.5,-26.577777777777783,-21.895000000000003,-27.631249999999994,-23.89833333333334,-31.3373462975768,6.6,8.83,13.100000000000001,7.808333333333334,5.413792973815582
1997.5,-19.577777777777783,-20.275,-16.331249999999983,-19.623333333333335,-17.787627697399188,6.6,8.55,13.100000000000001,7.591666666666667,6.65734046465772
1998.5,-29.47777777777779,-18.46500000000001,-25.73124999999999,-18.998333333333335,-17.341220499733993,6.8,8.25,13.100000000000001,7.350000000000002,5.990985885797001
1999.5,-20.97777777777779,-16.315000000000005,-9.931250000000006,-17.340000000000003,-14.243302326463038,6.8,7.95,13.3,7.116666666666665,9.205814750415893
2000.5,-19.677777777777777,-14.134999999999996,-1.9312500000000057,-14.039999999999992,-12.074239261169282,6.8,7.63,13.799999999999999,6.866666666666665,5.127022327159581
2001.5,-14.177777777777777,-11.70499999999999,-12.231249999999989,-10.27333333333334,-10.088992691400591,6.7,7.29,13.3,6.600000000000001,5.693675138332991
2002.5,-11.777777777777771,-8.905000000000006,-18.331249999999983,-6.598333333333329,-0.27879047124272915,6.8,6.95,13.4,6.341666666666667,4.765950045475775
2003.5,-2.577777777777783,-5.835000000000013,5.368750000000006,-4.106666666666683,3.509606301403437,6.9,6.58,13.200000000000001,6.049999999999999,4.469705476571559
2004.5,-2.9777777777777885,-2.4249999999999883,-4.231249999999989,-1.2816666666666663,-10.67129984650839,6.9,6.19,13.100000000000001,5.750000000000002,4.747407943164036
2005.5,-2.8777777777777658,1.184999999999997,-1.7312499999999886,1.8933333333333167,-4.411594319916503,6.8,5.77,13.100000000000001,5.441666666666668,4.640031974373543
2006.5,1.4222222222222172,4.904999999999996,3.668750000000017,3.2099999999999795,7.351266642090877,6.8,5.32,13.600000000000001,5.108333333333333,4.750560167371022
2007.5,3.322222222222223,8.51500000000001,-0.831249999999983,5.435000000000002,1.5220777358152873,7.1,4.83,13.100000000000001,4.758333333333333,4.5793414364641825
2008.5,12.022222222222211,11.50499999999999,8.568749999999994,8.943333333333328,9.04647998725676,6.8,4.29,13.100000000000001,4.375,4.344236056515853
2009.5,17.822222222222223,14.54500000000001,7.868750000000006,13.36833333333334,11.092976413619112,6.9,3.67,13.3,3.95,4.3682906339268825
2010.5,25.52222222222221,18.664999999999985,6.46875,14.951666666666654,15.551578630953458,7.1,2.92,13.3,3.499999999999999,5.2248322056990455
2011.5,27.122222222222234,nan,24.46875,15.109999999999985,11.223045694351185,7.5,nan,13.5,3.0916666666666663,4.457284849610307
2012.5,35.92222222222222,nan,34.868750000000006,22.310000000000002,30.615171850930494,8.3,nan,13.600000000000001,2.7833333333333337,4.827462107255624
2013.5,27.52222222222221,nan,nan,25.501666666666665,24.78788087332211,8.9,nan,nan,2.583333333333333,5.2112329289567425
2014.5,nan,nan,nan,29.784999999999997,30.28664281712159,nan,nan,nan,2.583333333333333,5.099774391658304
2015.5,nan,nan,nan,34.85166666666666,36.287227661992375,nan,nan,nan,2.7,5.302264953292486
2016.5,nan,nan,nan,nan,42.35956925549306,nan,nan,nan,nan,5.307675531384156
2017.5,nan,nan,nan,nan,50.77575483143397,nan,nan,nan,nan,6.270739295946418
2018.5,nan,nan,nan,nan,54.053424750582735,nan,nan,nan,nan,6.4304218025612565
2019.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
